pcode,year,junaug_mm,n_days
NE002006,1999,255.6776481903,91
NE002006,2000,203.80050288575,91
NE002006,2001,175.04202096457,91
NE002006,2002,168.22278514233,91
NE002006,2003,210.43304702812,91
NE002006,2004,133.65154487683,91
NE002006,2005,253.52211065702,91
NE002006,2006,177.89211487,91
NE002006,2007,329.1896009876,91
NE002006,2008,170.40386271896,91
NE002006,2009,191.78537789871,91
NE002006,2010,243.16527414626,91
NE002006,2011,189.4849806849,91
NE002006,2012,246.28493172721,91
NE002006,2013,186.16194248505,91
NE002006,2014,183.44543949058,91
NE002006,2015,225.78085471400001,91
NE002006,2016,231.16737187035,91
NE002006,2017,259.380637424334,91
NE002006,2018,392.237492258504,91
NE002006,2019,229.87207630911,91
NE002006,2020,308.63879807263,91
NE002006,2021,355.72519320833,91
NE002006,2022,323.05776614955,91
NE002006,2023,199.81898614167,91
NE002006,2024,436.8971680191,91
NE002006,2025,439.5322441924,91
NE002006,2026,102.790811687094,90
NE003001,1998,379.433310152,91
NE003001,1999,365.2008576814,91
NE003001,2000,415.11157443998997,91
NE003001,2001,355.82191875797,91
NE003001,2002,519.21186531164,91
NE003001,2003,343.7482623636,91
NE003001,2004,537.856764826713,91
NE003001,2005,484.25657587797,91
NE003001,2006,490.96046793789003,91
NE003001,2007,447.076329426286,91
NE003001,2008,305.97888733648,91
NE003001,2009,372.81057470658,91
NE003001,2010,511.82580330098,91
NE003001,2011,386.448451703103,91
NE003001,2012,531.7146986086,91
NE003001,2013,410.62186759178,91
NE003001,2014,410.332875168136,91
NE003001,2015,519.330907602306,91
NE003001,2016,272.93480568559,91
NE003001,2017,366.521768245252,91
NE003001,2018,549.6663852905,91
NE003001,2019,623.29089567149,91
NE003001,2020,348.74816726403,91
NE003001,2021,472.5846533951,91
NE003001,2022,374.1223482897,91
NE003001,2023,292.31374136861,91
NE003001,2024,523.295467898026,91
NE003001,2025,525.93719490884,91
NE003001,2026,294.19913113192,90
NE003002,1998,435.45887819666,91
NE003002,1999,358.5722183985,91
NE003002,2000,471.46804714837003,91
NE003002,2001,478.76405544815,91
NE003002,2002,596.57665404395,91
NE003002,2003,384.6638859052,91
NE003002,2004,569.58461487758,91
NE003002,2005,430.39637753499,91
NE003002,2006,489.02656309572,91
NE003002,2007,466.73193847538,91
NE003002,2008,310.7204540994,91
NE003002,2009,308.31212236446,91
NE003002,2010,532.43203040127,91
NE003002,2011,408.7076745021,91
NE003002,2012,533.6026754451,91
NE003002,2013,439.21479832124,91
NE003002,2014,351.97888587017,91
NE003002,2015,478.7047107449,91
NE003002,2016,432.22406225928,91
