pcode,year,junjul_mm,n_pix
NE006009,2003,184.65753173828125,488
NE006003,2003,171.20654296875,44
NE002002,2003,172.8033447265625,180
NE006013,2003,273.7694091796875,202
NE005007,2003,196.90884399414062,151
NE006001,2003,142.25750732421875,429
NE002005,2003,28.54400634765625,3920
NE007005,2003,223.93214416503906,74
NE007001,2003,119.44400024414062,309
NE005006,2003,192.6811065673828,124
NE007002,2003,200.60232543945312,173
NE006012,2003,188.62109375,170
NE006006,2003,167.91015625,350
NE001003,2003,3.163992404937744,9604
NE007008,2003,197.0904998779297,112
NE007010,2003,57.246429443359375,2333
NE003006,2003,300.82952880859375,82
NE005013,2003,180.2773895263672,25
NE005001,2003,119.72085571289062,464
NE007011,2003,236.2098388671875,16
NE006005,2003,188.4794464111328,48
NE002004,2003,161.47265625,252
NE002001,2003,134.24807739257812,59
NE001004,2004,8.146733283996582,4833
NE001005,2004,30.60359001159668,2074
NE008001,2004,182.3768768310547,17
NE004003,2004,135.99542236328125,357
NE003004,2004,204.28604125976562,300
NE003002,2004,212.55921936035156,53
NE007004,2004,119.51598358154297,698
NE007009,2004,73.21199035644531,806
NE003001,2004,212.95709228515625,105
NE004008,2004,165.9826202392578,218
NE003007,2004,162.80381774902344,90
NE002003,2004,96.30331420898438,268
NE005010,2004,47.01652526855469,1005
NE005008,2004,182.81785583496094,50
NE001002,2004,15.681111335754395,2096
NE001001,2004,37.20090866088867,1741
NE003008,2004,207.32208251953125,93
NE006010,2004,257.513427734375,213
NE003003,2004,165.3404541015625,279
NE005011,2004,73.48961639404297,371
NE004009,2004,165.19740295410156,178
NE004005,2004,185.11715698242188,157
NE005002,2004,126.31898498535156,102
NE005003,2004,177.12994384765625,106
NE001006,2004,28.90229034423828,1062
NE006011,2004,139.7154083251953,314
NE006008,2004,183.0904083251953,304
NE005012,2004,84.0271987915039,593
NE004004,2004,187.37924194335938,33
NE002006,2004,41.24711608886719,330
NE004002,2004,92.7134017944336,192
NE006007,2004,167.1776123046875,141
NE005005,2004,147.66957092285156,125
NE005009,2004,114.8979263305664,389
NE004007,2004,217.50637817382812,1
NE004001,2004,179.37510681152344,58
NE007003,2004,186.51742553710938,145
NE004006,2004,202.21585083007812,125
NE006004,2004,111.56719207763672,214
NE006002,2004,98.14153289794922,100
NE003005,2004,232.0166015625,51
NE007006,2004,226.02223205566406,131
NE005004,2004,153.0704803466797,124
NE007007,2004,167.10833740234375,123
NE006009,2004,134.42312622070312,488
NE006003,2004,157.08200073242188,44
NE002002,2004,63.95681381225586,180
NE006013,2004,218.00086975097656,202
NE005007,2004,169.75279235839844,151
NE006001,2004,109.29488372802734,429
NE002005,2004,9.971622467041016,3920
NE007005,2004,206.03749084472656,74
NE007001,2004,79.46002960205078,309
NE005006,2004,140.79856872558594,124
NE007002,2004,113.00138854980469,173
NE006012,2004,131.01495361328125,170
NE006006,2004,144.31210327148438,350
