season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1994,1.5439937801025074,1.6008623937408317,NE008001,2,JAS
1995,1.3580596884803056,1.4086095672699268,NE008001,2,JAS
1996,1.0445316557157796,1.0887627996566978,NE008001,2,JAS
1997,0.9467884935973625,0.9847009026895794,NE008001,2,JAS
1998,1.4948409773250917,1.5264346515686056,NE008001,2,JAS
1999,1.5459660882919823,1.571241027686795,NE008001,2,JAS
2000,0.8083613364960531,0.8273175410421627,NE008001,2,JAS
2001,1.4017884746192153,1.4144259443166218,NE008001,2,JAS
2002,1.3182101407077143,1.3245288755564195,NE008001,2,JAS
2003,1.3745694759669342,1.3745694759669365,NE008001,2,JAS
2004,1.1328971189297183,1.1265783840810193,NE008001,2,JAS
2005,1.2181857569172387,1.2055482872198366,NE008001,2,JAS
2006,1.3411128488382984,1.3221566442921933,NE008001,2,JAS
2007,1.4461339236167214,1.420858984221915,NE008001,2,JAS
2008,1.2204814205329744,1.188887746289465,NE008001,2,JAS
2009,0.8662019782638238,0.8282895691716131,NE008001,2,JAS
2010,1.5855938147817172,1.5413626708408035,NE008001,2,JAS
2011,1.1140397624467877,1.063489883657171,NE008001,2,JAS
2012,1.3126212458035542,1.2557526321652361,NE008001,2,JAS
2013,1.344691045212622,1.2815036967256008,NE008001,2,JAS
2014,1.4384796949661713,1.368973611630449,NE008001,2,JAS
2015,1.4799079426177029,1.4040831244332774,NE008001,2,JAS
2016,1.3408187927110247,1.2586752396778962,NE008001,2,JAS
2017,1.0775850529637174,0.9891227650818877,NE008001,2,JAS
2018,1.305119512224849,1.210338489494316,NE008001,2,JAS
2019,1.1733404192636607,1.0722406616844267,NE008001,2,JAS
2020,1.3164203730754853,1.2090018806475482,NE008001,2,JAS
2021,1.0899943281015818,0.9762571008249417,NE008001,2,JAS
2022,1.525323435312554,1.4052674731872126,NE008001,2,JAS
2023,1.2667070247426484,1.140332327768604,NE008001,2,JAS
2024,1.478303723363749,1.3456102915410015,NE008001,2,JAS
2025,1.2918159547376395,1.1528037880661908,NE008001,2,JAS
2026,0.919818678469647,0.7744877769494952,NE008001,2,JAS
1981,0.8553778898123761,1.0439820503440447,NE008001,2,ASO
1982,0.6453556689941475,0.825386913138014,NE008001,2,ASO
1983,0.7504079935648087,0.9218663213208731,NE008001,2,ASO
1984,0.5382995663183721,0.7011849776866343,NE008001,2,ASO
1985,0.9662862518078503,1.120598746788307,NE008001,2,ASO
