pcode,year,n_rain,rain_rp,veg_rp,cdi
NE005008,2017,4,5.207547169811321,2.0,1
NE005008,2018,4,2.3797468354430378,1.4666666666666668,0
NE005008,2019,4,2.463172804532578,2.0952380952380953,0
NE005008,2020,4,1.3859934853420195,1.2571428571428571,0
NE005008,2021,4,3.5060483870967745,1.375,0
NE005008,2022,4,2.4607329842931938,1.3333333333333333,0
NE005008,2023,4,3.3484162895927603,2.75,0
NE005008,2024,4,1.069166922840455,1.1578947368421053,0
NE005008,2025,4,4.4439876670092495,1.2941176470588236,0
NE005008,2026,4,4.147058823529412,1.6923076923076923,0
NE005013,1991,3,1.48,6.285714285714286,5
NE005013,1992,3,2.1904761904761907,2.2,0
NE005013,1993,3,4.2727272727272725,6.285714285714286,5
NE005013,1994,3,1.0444444444444443,1.1282051282051282,0
NE005013,1995,3,3.916666666666667,8.8,5
NE005013,1996,3,2.35,4.0,0
NE005013,1997,3,2.4210526315789473,7.333333333333334,5
NE005013,1998,4,1.1299545159194282,1.2941176470588236,0
NE005013,1999,4,2.3959218351741716,1.1282051282051282,0
NE005013,2000,4,1.302540415704388,2.9333333333333336,0
NE005013,2001,4,1.4248639598158226,2.2,0
NE005013,2002,4,1.4050822122571,5.5,5
NE005013,2003,4,1.5643382352941178,1.7599999999999998,0
NE005013,2004,4,4.663865546218488,5.5,5
NE005013,2005,4,1.156211562115621,3.142857142857143,0
NE005013,2006,4,3.2444029850746268,4.4,0
NE005013,2007,4,1.9646017699115044,2.0,0
NE005013,2008,4,1.6017316017316017,1.517241379310345,0
NE005013,2009,4,2.1751094434021265,3.142857142857143,0
NE005013,2010,4,1.5061058344640434,1.8333333333333335,0
NE005013,2011,4,2.510324483775811,2.588235294117647,0
NE005013,2012,4,2.0826347305389223,2.3157894736842106,0
NE005013,2013,4,12.034602076124566,1.8333333333333335,2
NE005013,2014,4,2.2252079334612924,1.517241379310345,0
NE005013,2015,4,1.9813736903376018,1.7599999999999998,0
NE005013,2016,4,1.4681300126635712,3.666666666666667,0
NE005013,2017,4,1.7289084366253498,2.0,0
NE005013,2018,4,2.5847846012832263,1.4666666666666668,0
NE005013,2019,4,4.040114613180515,2.0952380952380953,0
NE005013,2020,4,1.1939670291125921,1.2571428571428571,0
NE005013,2021,4,1.5561521252796422,1.375,0
NE005013,2022,4,4.550802139037433,1.3333333333333333,0
NE005013,2023,4,2.1163012392755003,2.75,0
NE005013,2024,4,1.084840923268871,1.1578947368421053,0
NE005013,2025,4,2.0616478956727917,1.2941176470588236,0
NE005013,2026,4,8.24561403508772,1.6923076923076923,1
NE007001,1991,3,1.342857142857143,11.0,5
NE007001,1992,3,2.35,3.142857142857143,0
NE007001,1993,3,9.4,3.666666666666667,1
NE007001,1994,3,2.9375,1.1891891891891893,0
NE007001,1995,3,9.25,14.666666666666668,3
NE007001,1996,3,6.166666666666666,8.8,3
NE007001,1997,3,3.916666666666667,7.333333333333334,5
NE007001,1998,4,1.3686806411837236,1.8333333333333335,0
NE007001,1999,4,1.1893715731758752,1.2941176470588236,0
NE007001,2000,4,2.5212827988338193,3.142857142857143,0
NE007001,2001,4,1.3281310963714397,1.9130434782608696,0
NE007001,2002,4,2.119607843137255,2.9333333333333336,0
NE007001,2003,4,1.3073713490959666,1.6296296296296295,0
NE007001,2004,4,5.5012722646310435,3.666666666666667,1
NE007001,2005,4,1.2952158693115519,7.333333333333334,5
NE007001,2006,4,9.581267217630854,11.0,3
NE007001,2007,4,2.9399830938292477,3.3846153846153846,0
