level,pcode,year,spi
2,NE001006,2010,2.1486098129655917
2,NE001006,2009,-1.5111654910096846
2,NE001006,2008,0.5467530229412977
2,NE001006,2007,0.41966556148104106
2,NE001006,2006,-1.8095847233565108
2,NE001006,2005,0.35829418396036
2,NE001006,2004,0.7140520029042079
2,NE001006,2003,0.879949307656585
2,NE001006,2002,-0.07472034584409012
2,NE001006,2001,-0.6827039266155052
2,NE001006,2000,0.23825842716757942
2,NE001006,1999,0.5658838269376631
2,NE001006,1998,0.1153191890302329
2,NE001006,1997,0.5261495365191998
2,NE001006,1996,-1.7611403888282797
2,NE001006,1995,-0.888674627762593
2,NE001006,1994,-0.05996097242536653
2,NE001006,1993,-1.0421546452677477
2,NE001006,1992,0.7676682501494537
2,NE001006,1991,0.2816305316792946
2,NE006011,2026,0.24029532412402604
2,NE006011,2025,0.60688355227868
2,NE006011,2024,1.3462880360378717
2,NE006011,2023,-1.0710777517562284
2,NE006011,2022,-1.6600463641496566
2,NE006011,2021,-0.1052816603984211
2,NE006011,2020,0.3016871277110068
2,NE006011,2019,-0.8473957610348498
2,NE006011,2018,0.48752915051104334
2,NE006011,2017,0.4499851641700372
2,NE006011,2016,0.7712890153814862
2,NE006011,2015,1.2269672077706668
2,NE006011,2014,0.3238538679073042
2,NE006011,2013,-0.058022076149151586
2,NE006011,2012,0.5649876279721735
2,NE006011,2011,-0.3617530762191031
2,NE006011,2010,0.5893680583532284
2,NE006011,2009,-0.17973092323607717
2,NE006011,2008,0.25556550063177375
2,NE006011,2007,0.924234508382253
2,NE006011,2006,-1.0812275220142538
2,NE006011,2005,0.4801667326774787
2,NE006011,2004,0.14384977644841163
2,NE006011,2003,1.6533626468516118
2,NE006011,2002,-0.3339508494561429
2,NE006011,2001,-0.08781566348432933
2,NE006011,2000,0.20013295835130804
2,NE006011,1999,0.045129345551295164
2,NE006011,1998,1.6022739004428541
2,NE006011,1997,-1.5863664295702704
2,NE006011,1996,-1.021788302045023
2,NE006011,1995,-0.830790201812106
2,NE006011,1994,-1.1243835611729462
2,NE006011,1993,-1.2459971928977829
2,NE006011,1992,-0.5137106781660709
2,NE006011,1991,-0.010441246581488029
2,NE006008,2026,0.6433594687136038
2,NE006008,2025,-0.23860641864743293
2,NE006008,2024,1.2119152762261414
2,NE006008,2023,-2.4400196714487152
2,NE006008,2022,-3.3738525686576044
2,NE006008,2021,0.07902029794159324
2,NE006008,2020,0.8274350081390357
2,NE006008,2019,0.18592038270272845
2,NE006008,2018,-1.0322864345932226
2,NE006008,2017,1.1520267447481307
2,NE006008,2016,-0.6412400430949565
2,NE006008,2015,-0.12583550177460576
2,NE006008,2014,0.4594602134255848
2,NE006008,2013,-0.48812112491739545
2,NE006008,2012,-0.06197954837288107
2,NE006008,2011,-0.9270163589487604
2,NE006008,2010,-0.3647227012486618
2,NE006008,2009,0.0185805683598219
2,NE006008,2008,0.49213502963385164
2,NE006008,2007,0.058232099592521826
2,NE006008,2006,-0.07747345024834333
2,NE006008,2005,1.499693298831851
2,NE006008,2004,-0.2717798392284726
2,NE006008,2003,0.11528586424333422
2,NE006008,2002,0.22011209053859024
2,NE006008,2001,1.3237711808186265
2,NE006008,2000,0.9452600974875247
2,NE006008,1999,0.0020063131363871754
2,NE006008,1998,0.8390812554758545
2,NE006008,1997,-0.2124527894744527
2,NE006008,1996,-0.6881848524012326
2,NE006008,1995,-0.32160750754301026
2,NE006008,1994,0.7558324398610617
2,NE006008,1993,-0.10215605757071053
2,NE006008,1992,0.402944923932396
2,NE006008,1991,-0.26621380945643963
2,NE005012,2026,0.17270804727424036
2,NE005012,2025,-0.28693102799839254
2,NE005012,2024,0.567511350167295
2,NE005012,2023,0.26328236386546544
2,NE005012,2022,-1.069989507728869
2,NE005012,2021,0.0042632024374329985
2,NE005012,2020,0.3117437798178212
2,NE005012,2019,-0.9963122954397348
2,NE005012,2018,-0.28556149259534935
2,NE005012,2017,2.0685004271149734
2,NE005012,2016,0.23568950963430632
2,NE005012,2015,0.45882384368758117
2,NE005012,2014,-0.01637458070188218
2,NE005012,2013,-1.291495467415162
2,NE005012,2012,1.8064921195643602
2,NE005012,2011,0.35445814318333463
2,NE005012,2010,0.532259930500045
2,NE005012,2009,-0.16151545588512925
2,NE005012,2008,0.39395274452849854
2,NE005012,2007,-0.25678249618676235
2,NE005012,2006,-0.6087006505748043
2,NE005012,2005,1.1006000207980278
2,NE005012,2004,-1.0834185259863582
2,NE005012,2003,1.3234653875124414
2,NE005012,2002,0.4710077396509568
2,NE005012,2001,-0.4836497500742733
2,NE005012,2000,0.6243494539347748
2,NE005012,1999,-0.8355704055238335
2,NE005012,1998,1.3052243606460034
2,NE005012,1997,-1.0281530577035483
2,NE005012,1996,-0.6866953698303445
2,NE005012,1995,-2.0964406373069773
2,NE005012,1994,0.07614343057880242
2,NE005012,1993,-0.9858148904947247
2,NE005012,1992,0.22689038446462315
2,NE005012,1991,-0.053259732021983294
2,NE004004,2026,1.3122355169566704
