pcode,year,junjul_mm,n_months
NE002003,1988,88.6437847,2
NE002003,1989,62.98644529999999,2
NE002003,1990,93.69619560000001,2
NE002003,1991,70.9083103,2
NE002003,1992,60.3466899,2
NE002003,1993,32.050007539999996,2
NE002003,1994,73.31688749999999,2
NE002003,1995,63.3925948,2
NE002003,1996,50.0975261,2
NE002003,1997,44.0329507,2
NE002003,1998,106.5931737,2
NE002003,1999,117.2937831,2
NE002003,2000,110.93210499999999,2
NE002003,2001,53.8790537,2
NE002003,2002,56.2043949,2
NE002003,2003,57.8858803,2
NE002003,2004,55.2522741,2
NE002003,2005,100.6654514,2
NE002003,2006,26.174083680000003,2
NE002003,2007,52.7518252,2
NE002003,2008,40.4482031,2
NE002003,2009,24.94931514,2
NE002003,2010,128.3118127,2
NE002003,2011,27.59898235,2
NE002003,2012,53.561409,2
NE002003,2013,34.059144,2
NE002003,2014,32.89719335,2
NE002003,2015,42.8636015,2
NE002003,2016,118.898866,2
NE002003,2017,79.1170993,2
NE002003,2018,58.6350819,2
NE002003,2019,37.08702226,2
NE002003,2020,25.7487084,2
NE002003,2021,81.64519589999999,2
NE002003,2022,62.280249600000005,2
NE002003,2023,18.554138000000002,2
NE002003,2024,34.06115287,2
NE002003,2025,48.0452409,2
NE002003,2026,20.225592380000002,2
NE002004,1981,124.8708797,2
NE002004,1982,37.20228575,2
NE002004,1983,59.3079312,2
NE002004,1984,32.34189604,2
NE002004,1985,78.70036209999999,2
NE002004,1986,55.426208700000004,2
NE002004,1987,82.3954761,2
NE002004,1988,93.24819600000001,2
NE002004,1989,55.0479283,2
NE002004,1990,90.6813293,2
NE002004,1991,69.2587417,2
NE002004,1992,59.5541393,2
NE002004,1993,29.168022259999997,2
NE002004,1994,74.9180969,2
NE002004,1995,68.8068083,2
NE002004,1996,49.78823129999999,2
NE002004,1997,54.2160946,2
NE002004,1998,80.5052657,2
NE002004,1999,105.3005365,2
NE002004,2000,102.61775155000001,2
NE002004,2001,54.4836262,2
NE002004,2002,55.3054973,2
NE002004,2003,56.333787199999996,2
NE002004,2004,52.358230119999995,2
NE002004,2005,89.59280199999999,2
NE002004,2006,27.54160317,2
NE002004,2007,46.990499799999995,2
NE002004,2008,41.19255124,2
NE002004,2009,30.21141823,2
NE002004,2010,157.8636309,2
NE002004,2011,23.661758470000002,2
NE002004,2012,48.83357960000001,2
NE002004,2013,25.9608154,2
NE002004,2014,34.630950899999995,2
NE002004,2015,41.25838322,2
NE002004,2016,112.27596290000001,2
NE002004,2017,61.1536854,2
NE002004,2018,59.4096612,2
NE002004,2019,31.177826,2
NE002004,2020,24.71078455,2
NE002004,2021,59.2293033,2
NE002004,2022,88.62277459999999,2
NE002004,2023,29.105987569999996,2
NE002004,2024,40.396127199999995,2
NE002004,2025,57.88616089999999,2
NE002004,2026,23.55036929,2
NE002005,1981,17.7238957,2
NE002005,1982,2.8724185799999997,2
NE002005,1983,9.610419270000001,2
NE002005,1984,4.217909488,2
NE002005,1985,11.72389948,2
NE002005,1986,15.32191432,2
NE002005,1987,15.99120808,2
NE002005,1988,12.902408950000002,2
NE002005,1989,9.209132910000001,2
NE002005,1990,11.84708369,2
NE002005,1991,10.65876945,2
NE002005,1992,16.840749849999998,2
NE002005,1993,3.0365270154,2
NE002005,1994,18.589727429999996,2
NE002005,1995,6.2434152,2
NE002005,1996,7.709249440000001,2
NE002005,1997,8.026123259999999,2
NE002005,1998,17.809360100000003,2
NE002005,1999,32.874371828,2
NE002005,2000,18.37900501,2
NE002005,2001,5.940452542,2
NE002005,2002,10.333599094,2
NE002005,2003,7.349234339999999,2
NE002005,2004,6.6307978,2
NE002005,2005,15.71430998,2
NE002005,2006,2.9545622750000002,2
NE002005,2007,5.301142079999999,2
NE002005,2008,5.609667480000001,2
NE002005,2009,4.832172154,2
NE002005,2010,22.735114199999998,2
NE002005,2011,2.67508937,2
NE002005,2012,8.058961,2
NE002005,2013,3.9323851459999997,2
NE002005,2014,3.856118707,2
NE002005,2015,6.474018921,2
NE002005,2016,20.010169599999998,2
NE002005,2017,9.820770280000001,2
NE002005,2018,11.621290909999999,2
NE002005,2019,6.202792959999999,2
NE002005,2020,8.215158166,2
NE002005,2021,6.24811058,2
NE002005,2022,5.91317014,2
NE002005,2023,4.40265135,2
NE002005,2024,4.70108276,2
NE002005,2025,7.3113656,2
NE002005,2026,3.630343365,2
NE002006,1981,117.48350209999998,2
NE002006,1982,27.377462700000002,2
NE002006,1983,46.443977399999994,2
NE002006,1984,26.250814450000004,2
NE002006,1985,64.2615108,2
NE002006,1986,57.0372487,2
NE002006,1987,65.82236950000001,2
NE002006,1988,85.89917100000001,2
NE002006,1989,47.8383615,2
NE002006,1990,65.2044803,2
NE002006,1991,55.087750500000006,2
NE002006,1992,52.6449997,2
NE002006,1993,23.88645135,2
NE002006,1994,68.74957479999999,2
NE002006,1995,45.9907977,2
NE002006,1996,53.3701088,2
NE002006,1997,45.0163309,2
NE002006,1998,60.1436507,2
NE002006,1999,97.7865448,2
NE002006,2000,78.7925345,2
NE002006,2001,40.9354455,2
NE002006,2002,61.7481514,2
NE002006,2003,50.120690499999995,2
NE002006,2004,39.3347673,2
NE002006,2005,67.273312,2
NE002006,2006,20.5102525,2
NE002006,2007,44.3276585,2
NE002006,2008,27.398336999999998,2
NE002006,2009,26.9577927,2
NE002006,2010,165.24917739999998,2
NE002006,2011,18.73274355,2
NE002006,2012,39.49110956,2
NE002006,2013,22.95413287,2
NE002006,2014,35.51423392,2
NE002006,2015,35.9059356,2
NE002006,2016,106.8273319,2
NE002006,2017,54.20625939999999,2
NE002006,2018,65.22472616,2
NE002006,2019,32.4747632,2
NE002006,2020,23.630317129999998,2
NE002006,2021,34.6063211,2
NE002006,2022,45.496711399999995,2
NE002006,2023,29.698992649999997,2
NE002006,2024,39.0042142,2
NE002006,2025,40.206920999999994,2
NE002006,2026,26.28469177,2
NE003001,1981,149.5047094,2
NE003001,1982,100.92669049999999,2
NE003001,1983,66.0027766,2
NE003001,1984,73.4738679,2
NE003001,1985,103.2283894,2
NE003001,1986,172.507707,2
NE003001,1987,84.68658210000001,2
NE003001,1988,141.00443180000002,2
NE003001,1989,87.31533870000001,2
NE003001,1990,77.0676311,2
NE003001,1991,134.2284338,2
NE003001,1992,107.77769839999999,2
